Name,Matches,Runs,Avg,StrikeRate,Fours,Sixers
SR Tendulkar (IND),,,,,,
KC Sangakkara (Asia/ICC/SL),,,,,,
RT Ponting (AUS/ICC),,,,,,
V Kohli (IND),,,,,,
DPMD Jayawardene (Asia/SL),,,,,,
JH Kallis (Afr/ICC/SA),,,,,,
R Dravid (Asia/ICC/IND),,,,,,
BC Lara (ICC/WI),,,,,,
ST Jayasuriya (Asia/SL),,,,,,
S Chanderpaul (WI),,,,,,
Inzamam-ul-Haq (Asia/ICC/PAK),,,,,,
JE Root (ENG),,,,,,
AB de Villiers (Afr/SA),,,,,,
CH Gayle (ICC/WI),,,,,,
RG Sharma (IND),,,,,,
DA Warner (AUS),,,,,,
KS Williamson (NZ),,,,,,
HM Amla (SA/World),,,,,,
SC Ganguly (Asia/IND),,,,,,
SR Waugh (AUS),,,,,,
LRPL Taylor (NZ),,,,,,
Younis Khan (PAK),,,,,,
AR Border (AUS),,,,,,
TM Dilshan (SL),,,,,,
Mohammad Yousuf (Asia/PAK),,,,,,
MS Dhoni (Asia/IND),,,,,,
V Sehwag (Asia/ICC/IND),,,,,,
GC Smith (Afr/ICC/SA),,,,,,
MJ Clarke (AUS),,,,,,
SPD Smith (AUS),,,,,,
ME Waugh (AUS),,,,,,
Javed Miandad (PAK),,,,,,
DL Haynes (WI),,,,,,
AN Cook (ENG),,,,,,
PA de Silva (SL),,,,,,
M Azharuddin (IND),,,,,,
AD Mathews (SL),,,,,,
AC Gilchrist (AUS/ICC),,,,,,
SP Fleming (ICC/NZ),,,,,,
Mushfiqur Rahim (BAN),,,,,,
IVA Richards (WI),,,,,,
Tamim Iqbal (BAN/ICC/World),,,,,,
ML Hayden (AUS/ICC),,,,,,
Shakib Al Hasan (BAN),,,,,,
BB McCullum (NZ),,,,,,
HH Gibbs (SA),,,,,,
Babar Azam (PAK),,,,,,
G Kirsten (SA),,,,,,
MS Atapattu (SL),,,,,,
KP Pietersen (ENG/ICC),,,,,,
MJ Guptill (NZ),,,,,,
DC Boon (AUS),,,,,,
IR Bell (ENG),,,,,,
SM Gavaskar (IND),,,,,,
GA Gooch (ENG),,,,,,
AJ Stewart (ENG),,,,,,
Saleem Malik (PAK),,,,,,
Saeed Anwar (PAK),,,,,,
Mohammad Hafeez (PAK),,,,,,
CG Greenidge (WI),,,,,,
Q de Kock (SA),,,,,,
A Ranatunga (SL),,,,,,
MEK Hussey (AUS),,,,,,
RB Richardson (WI),,,,,,
RR Sarwan (WI),,,,,,
Shoaib Malik (ICC/PAK),,,,,,
NJ Astle (NZ),,,,,,
Yuvraj Singh (Asia/IND),,,,,,
JM Bairstow (ENG),,,,,,
A Flower (ZIM),,,,,,
JC Buttler (ENG),,,,,,
CL Hooper (WI),,,,,,
DI Gower (ENG),,,,,,
AJ Strauss (ENG),,,,,,
F du Plessis (SA/World),,,,,,
Shahid Afridi (Asia/ICC/PAK),,,,,,
MN Samuels (WI),,,,,,
Misbah-ul-Haq (PAK),,,,,,
LD Chandimal (SL),,,,,,
VVS Laxman (IND),,,,,,
Mahmudullah (BAN),,,,,,
MA Taylor (AUS),,,,,,
BKG Mendis (SL),,,,,,
SR Watson (AUS),,,,,,
S Dhawan (IND),,,,,,
EJG Morgan (ENG/IRE),,,,,,
BA Stokes (ENG),,,,,,
TWM Latham (NZ),,,,,,
MV Boucher (Afr/ICC/SA),,,,,,
DB Vengsarkar (IND),,,,,,
